"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"353.769K Weight"	"403.717K Weight"	"460.718K Weight"	"525.767K Weight"	"600K Weight"
47400	600	1113.85	0.516667	0	-1	63	127	127	127
47500	310	1141.25	1	0	63	127	191	191	191
47600	310	972.146	1	0	63	127	191	191	191
47700	310	956.904	1	0	63	127	191	191	191
47800	310	968.41	1	0	63	127	191	191	191
47900	310	967.11	1	0	63	127	191	191	191
48000	460.718	927.073	0.672862	0	63	127	127	191	191
48100	460.718	1008	0.672862	0	63	127	127	191	191
48200	460.718	1062.57	0.672862	0	63	127	127	191	191
48300	460.718	1026.11	0.672862	0	63	127	127	191	191
48400	460.718	1090.76	0.672862	0	63	127	127	191	191
48500	403.717	1034.65	0.767864	0	63	63	127	191	191
48600	403.717	1006.69	0.767864	0	63	63	127	191	191
48700	403.717	949.501	0.767864	0	63	63	127	191	191
48800	403.717	999.733	0.767864	0	63	63	127	191	191
48900	403.717	969.432	0.767864	0	63	63	127	191	191
49000	525.767	968.603	0.589615	0	63	63	127	127	191
49100	525.767	1062.29	0.589615	0	63	63	127	127	191
49200	525.767	1078.6	0.589615	0	63	63	127	127	191
49300	525.767	1066.95	0.589615	0	63	63	127	127	191
49400	525.767	1019.91	0.589615	0	63	63	127	127	191
