"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"300K Weight"	"340.866K Weight"	"387.298K Weight"	"440.056K Weight"	"500K Weight"
19700	387.298	46.3646	0.774597	0	3	6	8	9
19750	387.298	52.6605	0.774597	0	3	6	8	9
19800	387.298	55.3078	0.774597	0	3	6	8	9
19850	387.298	52.3376	0.774597	0	3	6	8	9
19900	387.298	56.1423	0.774597	0	3	6	8	9
19950	387.298	53.1016	0.774597	0	3	6	8	9
20000	300	55.9279	1	0	4	7	9	10
20050	300	54.9621	1	0	4	7	9	10
20100	300	49.1969	1	0	4	7	9	10
20150	300	43.5105	1	0	4	7	9	10
20200	300	46.3905	1	0	4	7	9	10
20250	300	52.5741	1	0	4	7	9	10
20300	300	45.2274	1	0	4	7	9	10
20350	300	48.6076	1	0	4	7	9	10
20400	300	55.821	1	0	4	7	9	10
20450	300	68.1925	1	0	4	7	9	10
20500	340.866	56.7027	0.880112	0	3	7	9	10
20550	340.866	58.2626	0.880112	0	3	7	9	10
20600	340.866	56.1095	0.880112	0	3	7	9	10
20650	340.866	59.8838	0.880112	0	3	7	9	10
20700	340.866	47.8749	0.880112	0	3	7	9	10
20750	340.866	54.9029	0.880112	0	3	7	9	10
20800	340.866	47.5808	0.880112	0	3	7	9	10
20850	340.866	66.6705	0.880112	0	3	7	9	10
20900	340.866	70.1265	0.880112	0	3	7	9	10
20950	340.866	66.3284	0.880112	0	3	7	9	10
21000	500	56.8867	0.6	0	3	7	9	9
21050	500	53.4344	0.6	0	3	7	9	9
21100	500	58.309	0.6	0	3	7	9	9
21150	500	42.974	0.6	0	3	7	9	9
21200	500	56.2046	0.6	0	3	7	9	9
21250	500	48.081	0.6	0	3	7	9	9
21300	500	62.854	0.6	0	3	7	9	9
21350	500	65.2977	0.6	0	3	7	9	9
21400	500	55.9961	0.6	0	3	7	9	9
21450	500	63.0485	0.6	0	3	7	9	9
21500	387.298	53.7788	0.774597	0	3	6	9	9
21550	387.298	57.4121	0.774597	0	3	6	9	9
21600	387.298	59.7863	0.774597	0	3	6	9	9
21650	387.298	63.0947	0.774597	0	3	6	9	9
21700	387.298	59.6417	0.774597	0	3	6	9	9
21750	387.298	52.3994	0.774597	0	3	6	9	9
21800	387.298	54.2034	0.774597	0	3	6	9	9
21850	387.298	50.7407	0.774597	0	3	6	9	9
21900	387.298	49.7013	0.774597	0	3	6	9	9
21950	387.298	50.7671	0.774597	0	3	6	9	9
22000	340.866	58.5309	0.880112	0	2	6	9	9
22050	340.866	58.7672	0.880112	0	2	6	9	9
22100	340.866	57.7448	0.880112	0	2	6	9	9
22150	340.866	59.5543	0.880112	0	2	6	9	9
22200	340.866	52.4778	0.880112	0	2	6	9	9
22250	340.866	50.1223	0.880112	0	2	6	9	9
22300	340.866	52.7071	0.880112	0	2	6	9	9
22350	340.866	58.2304	0.880112	0	2	6	9	9
22400	340.866	54.1245	0.880112	0	2	6	9	9
22450	340.866	58.3988	0.880112	0	2	6	9	9
22500	387.298	64.4874	0.774597	0	2	5	9	9
22550	387.298	57.565	0.774597	0	2	5	9	9
22600	387.298	53.5455	0.774597	0	2	5	9	9
22650	387.298	59.406	0.774597	0	2	5	9	9
22700	387.298	54.2428	0.774597	0	2	5	9	9
22750	387.298	54.1889	0.774597	0	2	5	9	9
22800	387.298	62.297	0.774597	0	2	5	9	9
22850	387.298	51.0783	0.774597	0	2	5	9	9
22900	387.298	47.0089	0.774597	0	2	5	9	9
22950	387.298	55.1798	0.774597	0	2	5	9	9
23000	440.056	45.9909	0.681732	0	2	5	8	9
23050	440.056	55.4437	0.681732	0	2	5	8	9
23100	440.056	74.2641	0.681732	0	2	5	8	9
23150	440.056	56.856	0.681732	0	2	5	8	9
23200	440.056	61.2251	0.681732	0	2	5	8	9
23250	440.056	56.371	0.681732	0	2	5	8	9
23300	440.056	69.4006	0.681732	0	2	5	8	9
23350	440.056	77.1615	0.681732	0	2	5	8	9
23400	440.056	81.6084	0.681732	0	2	5	8	9
23450	440.056	55.1488	0.681732	0	2	5	8	9
23500	300	65.6502	1	0	3	6	9	10
23550	300	58.2744	1	0	3	6	9	10
23600	300	57.1447	1	0	3	6	9	10
23650	300	55.176	1	0	3	6	9	10
23700	300	49.5479	1	0	3	6	9	10
23750	300	54.7599	1	0	3	6	9	10
23800	300	39.3598	1	0	3	6	9	10
23850	300	50.0815	1	0	3	6	9	10
23900	300	47.8167	1	0	3	6	9	10
23950	300	53.3731	1	0	3	6	9	10
24000	387.298	60.5172	0.774597	0	3	5	9	10
24050	387.298	55.2287	0.774597	0	3	5	9	10
24100	387.298	68.7771	0.774597	0	3	5	9	10
24150	387.298	66.6809	0.774597	0	3	5	9	10
24200	387.298	78.5849	0.774597	0	3	5	9	10
24250	387.298	76.3794	0.774597	0	3	5	9	10
24300	387.298	58.6562	0.774597	0	3	5	9	10
24350	387.298	52.7278	0.774597	0	3	5	9	10
24400	387.298	57.9713	0.774597	0	3	5	9	10
24450	387.298	53.5661	0.774597	0	3	5	9	10
24500	440.056	53.0634	0.681732	0	3	5	8	10
24550	440.056	47.9272	0.681732	0	3	5	8	10
24600	440.056	59.3588	0.681732	0	3	5	8	10
24650	440.056	61.6264	0.681732	0	3	5	8	10
24700	440.056	50.9121	0.681732	0	3	5	8	10
24750	440.056	58.1681	0.681732	0	3	5	8	10
24800	440.056	60.8993	0.681732	0	3	5	8	10
24850	440.056	60.0475	0.681732	0	3	5	8	10
24900	440.056	63.036	0.681732	0	3	5	8	10
24950	440.056	48.6873	0.681732	0	3	5	8	10
25000	500	55.4533	0.6	0	3	5	8	9
25050	500	46.56	0.6	0	3	5	8	9
25100	500	53.8904	0.6	0	3	5	8	9
25150	500	62.2749	0.6	0	3	5	8	9
25200	500	50.9909	0.6	0	3	5	8	9
25250	500	56.3122	0.6	0	3	5	8	9
25300	500	44.7843	0.6	0	3	5	8	9
25350	500	47.356	0.6	0	3	5	8	9
25400	500	73.1563	0.6	0	3	5	8	9
25450	500	62.6431	0.6	0	3	5	8	9
25500	340.866	65.8961	0.880112	0	2	5	8	9
25550	340.866	53.5147	0.880112	0	2	5	8	9
25600	340.866	47.8196	0.880112	0	2	5	8	9
25650	340.866	44.8152	0.880112	0	2	5	8	9
25700	340.866	46.3543	0.880112	0	2	5	8	9
25750	340.866	63.5933	0.880112	0	2	5	8	9
25800	340.866	53.9219	0.880112	0	2	5	8	9
25850	340.866	56.0368	0.880112	0	2	5	8	9
25900	340.866	60.6502	0.880112	0	2	5	8	9
25950	340.866	63.7277	0.880112	0	2	5	8	9
26000	300	55.7556	1	0	3	6	9	10
26050	300	71.3127	1	0	3	6	9	10
26100	300	55.7127	1	0	3	6	9	10
26150	300	53.5923	1	0	3	6	9	10
26200	300	63.8148	1	0	3	6	9	10
26250	300	47.4206	1	0	3	6	9	10
26300	300	43.693	1	0	3	6	9	10
26350	300	51.3307	1	0	3	6	9	10
26400	300	57.2178	1	0	3	6	9	10
26450	300	54.2858	1	0	3	6	9	10
26500	387.298	59.4727	0.774597	0	3	5	9	10
26550	387.298	57.6253	0.774597	0	3	5	9	10
26600	387.298	49.9387	0.774597	0	3	5	9	10
26650	387.298	52.071	0.774597	0	3	5	9	10
26700	387.298	52.4603	0.774597	0	3	5	9	10
26750	387.298	50.6003	0.774597	0	3	5	9	10
26800	387.298	50.4954	0.774597	0	3	5	9	10
26850	387.298	58.7457	0.774597	0	3	5	9	10
26900	387.298	54.4976	0.774597	0	3	5	9	10
26950	387.298	61.975	0.774597	0	3	5	9	10
27000	440.056	59.8654	0.681732	0	3	5	8	10
27050	440.056	59.624	0.681732	0	3	5	8	10
